Timestamp,Πόσα χρόνια δουλεύεις επαγγελματικά ως προγραμματιστής;,Με τι είδος development ασχολείσαι επαγγελματικά αυτή την περίοδο;,Σε ποιες γλώσσες προγραμματισμού δουλεύεις  επαγγελματικά αυτή την περίοδο;,Τι μέγεθος είναι η εταιρεία που δουλεύεις;,Ποιος είναι ο τρόπος εργασίας;,Έχεις άτομα υπό την επίβλεψη σου;,Έχεις προσωπικά projects ή κάνεις freelancing πέρα από την κύρια εργασία σου;,Σε ποια πόλη μένεις;,Σε ποια πόλη δουλεύεις;,Φύλλο;,Ποιος είναι ο ετήσιος καθαρός μισθός σου;
7/16/2020 21:31:03,4-5,Backend,C#,51-100,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,1400
7/16/2020 21:36:02,4-5,"Backend, Frontend","C#, JavaScript",201-500,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,19600
7/16/2020 22:46:09,1-3,Backend,"JavaScript, PHP",<10,Στον χώρο του εργοδότη,Όχι,Όχι,Κύπρο,Λάρνακα,Άντρας,13200
7/16/2020 23:15:58,1-3,"Backend, Frontend",C#,101-200,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,11.2
7/16/2020 23:33:08,6-10,"Backend, Frontend","C#, JavaScript",11-50,Και τα δύο,Όχι,Όχι,Oxford,Oxford,Άντρας,70000 στο περιπου 
7/16/2020 23:53:24,1-3,Backend,PHP,<10,Στον χώρο του εργοδότη,Όχι,Ναι,Βόλος,Βόλος,Άντρας,10500
7/17/2020 11:17:16,11+,Backend,"Java, JavaScript, Groovy",201-500,Απομακρυσμένα,Όχι,Ναι,Θεσσαλονίκη,Αθήνα,Άντρας,20300
7/17/2020 12:04:13,11+,"DevOps, AI / ML, + project managment","C#, Python, Visual Basic .NET, JavaScript",<10,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,1200
7/17/2020 18:52:45,4-5,Frontend,JavaScript,501+,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,23500
7/17/2020 21:56:59,4-5,Fullstack,"JavaScript, PHP, Ruby",11-50,Απομακρυσμένα,Όχι,Όχι,Kalmar,Stockholm,Άντρας,43750
7/17/2020 22:58:48,11+,Backend,PHP,11-50,Απομακρυσμένα,Όχι,Όχι,Ηράκλειο,Zurich,Άντρας,60000
7/18/2020 8:21:00,4-5,"Backend, Frontend","Java, C#",201-500,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,16800
7/18/2020 11:40:25,4-5,"DevOps, Backend, Frontend","PHP, Go",51-100,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,18000
7/18/2020 12:30:41,1-3,"DevOps, Backend",Python,501+,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,930
7/18/2020 13:09:02,1-3,"Frontend, Mobile apps",JavaScript,11-50,Και τα δύο,Ναι,Όχι,Αθήνα,Αθήνα,Γυναίκα,24000
7/19/2020 0:49:25,1-3,Backend,C#,501+,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,10500
7/19/2020 11:32:01,4-5,"DevOps, Backend, Mobile apps","Java, C, C++, C#, Python, JavaScript, PHP",11-50,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,15000
7/19/2020 16:12:49,1-3,Mobile apps,"Java, PHP, Swift, Kotlin",11-50,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,10200
7/19/2020 17:01:00,6-10,"Backend, Finance/Trading applications",Java,501+,Και τα δύο,Όχι,Όχι,Amsterdam,Amsterdam,Άντρας,70000
7/20/2020 1:07:01,1-3,"Backend, Frontend","Python, JavaScript, PHP",11-50,Και τα δύο,Ναι,Όχι,Αθήνα,Αθήνα,Άντρας,9000
7/20/2020 9:05:19,1-3,"Backend, Frontend","C#, Python, JavaScript, PHP",11-50,Στον χώρο του εργοδότη,Όχι,Ναι,Ξάνθη,Ξάνθη,Άντρας,10
7/20/2020 10:56:30,1-3,"Backend, Frontend","Java, JavaScript",201-500,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,9936
7/20/2020 11:05:10,6-10,Mobile apps,"Java, C#, Swift, Kotlin",11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Ιωάννινα,Ιωάννινα,Άντρας,15000
7/20/2020 11:06:00,1-3,DevOps,"Visual Basic .NET, JavaScript",<10,Στον χώρο του εργοδότη,Ναι,Όχι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,12.18€
7/20/2020 11:22:38,1-3,"Backend, Desktop apps","C#, JavaScript, Dynamics NAV",11-50,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,9996
7/20/2020 14:15:24,1-3,Desktop apps,C++,51-100,Στον χώρο του εργοδότη,Όχι,Όχι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,15000
7/20/2020 16:49:42,11+,"Backend, Frontend","JavaScript, PHP",<10,Και τα δύο,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,1000
7/20/2020 19:25:50,1-3,Backend,"Java, Python",<10,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,12000
7/20/2020 23:24:39,1-3,RPA Developer,C#,501+,Και τα δύο,Ναι,Ναι,Bratislava,Bratislava,Άντρας,16000
7/21/2020 11:14:04,1-3,Backend,Java,501+,Απομακρυσμένα,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,12600
7/21/2020 12:26:53,1-3,"Backend, Frontend","C#, JavaScript",201-500,Και τα δύο,Ναι,Όχι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,670
7/21/2020 14:41:37,4-5,Backend,Java,201-500,Και τα δύο,Όχι,,Αθήνα,,,21000
7/21/2020 16:03:52,1-3,FULL STACK DEVELOPER,"JavaScript, PHP",<10,Και τα δύο,Ναι,Όχι,Αθήνα,Αθήνα,Άντρας,12300
7/21/2020 17:08:40,6-10,"DevOps, Backend",Python,11-50,Απομακρυσμένα,Όχι,Ναι,Αθήνα,London,Άντρας,1500
7/21/2020 18:48:36,1-3,"Backend, Frontend",Java,<10,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,13500
7/21/2020 21:46:08,4-5,"Backend, Frontend","C#, JavaScript",201-500,Και τα δύο,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,23.8
7/21/2020 22:19:03,6-10,"Backend, Frontend","JavaScript, PHP",<10,Στον χώρο του εργοδότη,Όχι,Όχι,ΚΑΒΑΛΑ,ΚΑΒΑΛΑ,Άντρας,16000
7/21/2020 23:11:21,1-3,Backend,Python,11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Berlin,Berlin,Άντρας,28440
7/22/2020 0:35:55,1-3,Frontend,"JavaScript, PHP",201-500,Στον χώρο του εργοδότη,Όχι,Όχι,Cologne,,Άντρας,30000
7/22/2020 10:17:15,1-3,"Backend, Frontend","Java, JavaScript",201-500,Και τα δύο,Όχι,Όχι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,17000
7/22/2020 11:58:52,1-3,"DevOps, Backend, Frontend","Java, JavaScript",501+,Και τα δύο,Ναι,Όχι,Αθήνα,Αθήνα,Άντρας,19000
7/22/2020 12:35:46,6-10,"Mobile apps, Desktop apps",Java,201-500,Στον χώρο του εργοδότη,Όχι,Όχι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,21
7/22/2020 12:37:24,Δε δουλεύω ακόμα,"Backend, Frontend","JavaScript, PHP",<10,Και τα δύο,Όχι,Ναι,Ηράκλειο,Ηράκλειο,Άντρας,850
7/22/2020 12:47:27,1-3,Frontend,JavaScript,<10,Και τα δύο,Όχι,Ναι,Αθήνα,,Άντρας,7200
7/22/2020 12:48:13,1-3,"Backend, Frontend","Java, JavaScript",101-200,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,15400
7/22/2020 12:53:37,4-5,Mobile apps,Kotlin,51-100,Και τα δύο,Ναι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,16000
7/22/2020 12:54:56,1-3,"Backend, Frontend","C#, JavaScript",<10,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,750 καθαρά x 12 + (750 + 375 δώρα) = 10.125 (χωρίς bonus)
7/22/2020 13:03:59,1-3,Mobile apps,"Java, Kotlin",51-100,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,15000
7/22/2020 13:04:31,4-5,Backend,C#,51-100,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,21000
7/22/2020 14:37:27,4-5,"Backend, Frontend","JavaScript, PHP",201-500,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,1300
7/22/2020 15:19:51,4-5,"Backend, Frontend","JavaScript, PHP",<10,Απομακρυσμένα,Όχι,Ναι,Θεσσαλονίκη,London,Άντρας,45000
7/22/2020 15:34:30,6-10,"Backend, Frontend",Java,51-100,Στον χώρο του εργοδότη,Ναι,Όχι,Αθήνα,Αθήνα,Άντρας,20000
7/22/2020 16:39:23,1-3,Desktop apps,Java,<10,Στον χώρο του εργοδότη,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,17000
7/22/2020 16:54:14,1-3,Backend,"C#, CA GEN",201-500,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,15325
7/22/2020 17:10:46,1-3,Backend,PHP,<10,Και τα δύο,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,14000
7/22/2020 17:49:19,1-3,Backend,"C#, Python, JavaScript",51-100,Στον χώρο του εργοδότη,Όχι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,700
7/22/2020 18:33:13,1-3,Frontend,"Python, JavaScript",<10,Απομακρυσμένα,Όχι,Ναι,London,London,Άντρας,35
7/22/2020 18:53:34,6-10,Backend,"PHP, Ruby, Go",501+,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,3200
7/22/2020 19:03:39,4-5,"Backend, Frontend","JavaScript, PHP",11-50,Στον χώρο του εργοδότη,Όχι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,9000
7/22/2020 19:57:56,11+,"Backend, Frontend","Ruby, Elixir",<10,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,40000
7/22/2020 20:10:47,1-3,Backend,Java,11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,27000
7/22/2020 21:06:51,1-3,Frontend,JavaScript,<10,Στον χώρο του εργοδότη,Όχι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,11200
7/22/2020 21:29:55,6-10,Backend,Java,<10,Στον χώρο του εργοδότη,Όχι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,19.6
7/22/2020 22:24:48,1-3,Frontend,"JavaScript, PHP",11-50,Στον χώρο του εργοδότη,Ναι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,14000
7/22/2020 22:50:05,4-5,"Backend, Frontend","JavaScript, PHP, VueJs",11-50,Απομακρυσμένα,Όχι,Ναι,Λάρισα,Αθήνα,Άντρας,17040
7/22/2020 23:51:53,1-3,Frontend,JavaScript,<10,Στον χώρο του εργοδότη,Όχι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,8200
7/22/2020 23:58:21,11+,"Backend, Frontend",JavaScript,51-100,Απομακρυσμένα,Όχι,Όχι,-,-,Άντρας,104
7/23/2020 1:04:41,1-3,Desktop apps,Visual Basic .NET,201-500,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,,Άντρας,7056
7/23/2020 2:23:01,4-5,"DevOps, Backend, Frontend, Mobile apps","Java, JavaScript, Typescript",11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,14200
7/23/2020 2:27:58,1-3,Backend,C#,11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,11.2
7/23/2020 6:05:59,1-3,Frontend,JavaScript,11-50,Απομακρυσμένα,Όχι,Όχι,Θεσσαλονίκη,Miami,Άντρας,12
7/23/2020 10:17:37,1-3,Backend,Java,501+,Και τα δύο,Ναι,Όχι,Αθήνα,Αθήνα,Άντρας,14000
7/23/2020 13:41:04,6-10,"Backend, Frontend","JavaScript, PHP",11-50,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,22400
7/23/2020 13:42:06,6-10,"Backend, Frontend, Drupal","JavaScript, PHP, html, css",11-50,Απομακρυσμένα,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,28000
7/23/2020 14:22:21,1-3,Backend,PHP,501+,Στον χώρο του εργοδότη,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,1100
7/23/2020 18:38:19,Δε δουλεύω ακόμα,Frontend,Python,<10,Και τα δύο,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,0
7/23/2020 20:04:04,1-3,"Backend, Frontend","JavaScript, PHP",11-50,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,10000
7/23/2020 23:28:26,1-3,"Backend, Frontend","JavaScript, PHP",<10,Στον χώρο του εργοδότη,Ναι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,650
7/23/2020 23:35:10,1-3,"Backend, Frontend","Java, JavaScript",201-500,Στον χώρο του εργοδότη,Ναι,Όχι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,15000
7/23/2020 23:51:34,1-3,Backend,Python,<10,Απομακρυσμένα,Όχι,Ναι,Chios,Chios,Άντρας,8450
7/24/2020 0:47:03,1-3,"Backend, Frontend","Python, JavaScript",11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,16000
7/24/2020 18:59:42,1-3,Backend,"Java, Apex",501+,Απομακρυσμένα,Όχι,Όχι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,10276
7/24/2020 23:53:34,1-3,"Mobile apps, Desktop apps","Java, Python, Kotlin",501+,Στον χώρο του εργοδότη,Ναι,Όχι,Αθήνα,,Άντρας,20000
7/25/2020 11:27:12,1-3,Frontend,"JavaScript, html, css",<10,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,8000
7/25/2020 12:28:39,1-3,Frontend,PHP,<10,Στον χώρο του εργοδότη,Όχι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,7150
7/25/2020 13:07:59,6-10,"Backend, Frontend","Java, JavaScript, PHP",<10,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,14000
7/25/2020 17:47:07,1-3,"Backend, Frontend",Java,<10,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,17000
7/25/2020 18:26:33,11+,"Backend, Frontend","Java, C#",501+,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,19700
7/25/2020 21:26:15,1-3,Frontend,"JavaScript, PHP",501+,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,11000
7/26/2020 0:40:11,11+,"Backend, Frontend",PHP,501+,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,21700
7/26/2020 12:53:54,1-3,Cybersecurity,"Java, C, C++, C#, Python, Assembly",11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,25000
7/26/2020 22:39:56,4-5,Cybersecurity,"C, C++, Assembly",101-200,Στον χώρο του εργοδότη,Ναι,Ναι,Αθήνα,,Άντρας,40000
7/27/2020 14:17:46,4-5,Frontend,angular,201-500,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,19000
7/27/2020 16:39:10,1-3,Backend,Java,201-500,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,13500
7/27/2020 16:40:38,1-3,Mobile apps,"Java, Kotlin",11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,14500
7/27/2020 16:41:50,1-3,"Backend, Desktop apps","Java, Python",<10,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,15300
7/27/2020 21:20:01,1-3,"Backend, Frontend","JavaScript, PHP",11-50,Απομακρυσμένα,Όχι,Ναι,Σέρρες,Αθήνα,Άντρας,12000
7/28/2020 13:05:55,1-3,Frontend,JavaScript,11-50,Και τα δύο,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,7200
7/28/2020 13:40:52,4-5,"Backend, Frontend","JavaScript, PHP, Ruby",11-50,Απομακρυσμένα,Όχι,Όχι,Karlskrona,Stockholm,Άντρας,63000
7/28/2020 14:15:57,Δε δουλεύω ακόμα,Desktop apps,JavaScript,<10,Και τα δύο,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,16500
7/28/2020 15:27:49,1-3,"Mobile apps, Gaming",C#,11-50,Απομακρυσμένα,Όχι,Όχι,Πάτρα,Πάτρα,Άντρας,11.20€
7/28/2020 15:44:26,1-3,"DevOps, Backend, Frontend",C#,<10,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,9000
7/28/2020 17:05:34,1-3,Backend,Java,501+,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,15000
7/28/2020 17:49:24,1-3,Backend,Java,11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,16000
7/28/2020 18:36:34,Δε δουλεύω ακόμα,Desktop apps,"Python, JavaScript",11-50,Στον χώρο του εργοδότη,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,8000
7/28/2020 21:52:04,4-5,"Backend, Frontend","PHP, Node.js",11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,15600
7/28/2020 22:35:57,1-3,Backend,"Java, JavaScript",501+,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,9400
7/29/2020 0:31:53,1-3,DevOps,"C, Python, Ruby, Go, Bash",51-100,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,18000
7/29/2020 14:54:39,1-3,Backend,Java,<10,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,17000
7/29/2020 16:11:29,1-3,Backend,Avaloq,51-100,Και τα δύο,Όχι,Ναι,Bratislava,Bratislava,Άντρας,18.6
7/29/2020 16:34:32,Δε δουλεύω ακόμα,"DevOps, Backend, Frontend","JavaScript, PHP",<10,Απομακρυσμένα,Όχι,Ναι,London,London,Άντρας,0000000
7/29/2020 17:28:17,1-3,Frontend,JavaScript,101-200,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,14700
7/29/2020 21:04:17,1-3,Mobile apps,"Java, Kotlin",<10,Στον χώρο του εργοδότη,Ναι,Ναι,Αθήνα,,Άντρας,18000
7/29/2020 21:08:04,1-3,"DevOps, Desktop apps","Java, C, Python",11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,17500
7/29/2020 21:15:40,1-3,Backend,Java,51-100,Στον χώρο του εργοδότη,Ναι,Ναι,Αθήνα,,Άντρας,19000
7/29/2020 21:16:26,Δε δουλεύω ακόμα,"Backend, Mobile apps",Java,101-200,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,,Άντρας,18500
7/30/2020 0:49:51,1-3,DevSecOp,"C, Python, Ruby, Go",101-200,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,20000
7/30/2020 18:19:03,1-3,Backend,"JavaScript, PHP",<10,Στον χώρο του εργοδότη,Ναι,Όχι,Κοζάνη,Κοζάνη,Άντρας,7800 (suddenly)
7/30/2020 18:59:53,4-5,"DevOps, Backend","Java, C, Python, Go",51-100,Στον χώρο του εργοδότη,Ναι,Όχι,Αθήνα,,Άντρας,23000
7/30/2020 19:05:16,4-5,"Backend, Frontend","Java, Python",201-500,Στον χώρο του εργοδότη,Ναι,Ναι,Αθήνα,,Άντρας,30000
7/30/2020 19:05:56,6-10,"Backend, Desktop apps",Java,11-50,Στον χώρο του εργοδότη,Ναι,Όχι,Αθήνα,,Άντρας,26000
7/30/2020 19:08:20,4-5,DevOps,"C, Python, Ruby, Go",51-100,Στον χώρο του εργοδότη,Ναι,Όχι,Αθήνα,,Άντρας,27000
7/30/2020 19:09:24,6-10,"Backend, Mobile apps, Desktop apps","Java, Python, Kotlin",101-200,Στον χώρο του εργοδότη,Ναι,Ναι,Αθήνα,,Άντρας,35000
7/30/2020 21:01:18,1-3,Mobile apps,Java,11-50,Στον χώρο του εργοδότη,Ναι,,Θεσσαλονίκη,,,16000
7/30/2020 23:24:32,1-3,Backend,JavaScript,501+,Και τα δύο,Όχι,Όχι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,9000
7/31/2020 14:23:49,6-10,Backend,Java,501+,Στον χώρο του εργοδότη,Ναι,Όχι,Αθήνα,,Άντρας,40000
7/31/2020 14:24:52,11+,"Backend, Desktop apps",Java,201-500,Στον χώρο του εργοδότη,Ναι,Όχι,Αθήνα,,Άντρας,45000
7/31/2020 14:40:25,1-3,"Backend, Desktop apps",Python,11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,15500
7/31/2020 14:41:24,1-3,DevOps,"C, Python, Ruby, Go",101-200,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,16000
7/31/2020 14:42:23,4-5,"DevOps, Backend","Java, Python, Go",51-100,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,17000
7/31/2020 18:00:09,1-3,Mobile apps,"Java, Kotlin",11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,15000
7/31/2020 23:47:55,1-3,AI / ML,"Java, Python",51-100,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,18500
7/31/2020 23:49:48,1-3,"Backend, Frontend",Java,501+,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,17000
7/31/2020 23:51:28,1-3,DevSecOp,"C, Python, Ruby, Go, Bash, Perl",51-100,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,20000
7/31/2020 23:53:33,1-3,Penetration Testing,"C, C++, Python, JavaScript, Assembly",101-200,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,,Άντρας,21000
8/1/2020 0:10:48,4-5,AI / ML,Python,201-500,Στον χώρο του εργοδότη,Ναι,Όχι,Αθήνα,,Άντρας,25000
8/1/2020 14:48:01,4-5,Mobile apps,"Java, Kotlin",201-500,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,23000
8/1/2020 14:48:43,1-3,DevOps,"Python, Ruby, Go",101-200,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,18500
8/1/2020 14:51:21,1-3,"Backend, Desktop apps",Java,201-500,Στον χώρο του εργοδότη,Ναι,Όχι,Αθήνα,,Άντρας,45000
8/1/2020 14:55:27,1-3,Backend,Java,11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,15500
8/1/2020 15:02:37,1-3,Mobile apps,Kotlin,101-200,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,16000
8/1/2020 21:51:18,1-3,DevOps,"Python, Ruby, Go, Perl",501+,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,,18500
8/1/2020 21:54:04,1-3,Cybersecurity,"C, C++, Python, Assembly",101-200,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,21000
8/1/2020 21:55:15,11+,"Backend, Mobile apps, Desktop apps","Java, Python, JavaScript, Kotlin",201-500,Στον χώρο του εργοδότη,Ναι,Όχι,Αθήνα,,Άντρας,50000
8/1/2020 21:57:12,1-3,"Mobile apps, Desktop apps",Java,101-200,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,17500
